addressID~addressLine1~addressLine2~addressLine3~addressLine4~city~CountrySubdivisionCodeId~postalCode~country~countrySubdivision~DocumentKey~LastUpdatedBy
'1'~'10 S. Riverside Plaza          1'~'Chicago IL 60606 USA          1'~'xxxxx3'~''~'test'~'0'~''~'1'~''~~
'7476'~'10 S. Riverside Plaza       7476'~'Chicago IL 60606 USA       7476'~~~'Castelo de Vide'~~~'30'~~~
'7477'~'10 S. Riverside Plaza       7477'~'Chicago IL 60606 USA       7477'~~~'York'~~~'19'~~~
'7478'~'10 S. Riverside Plaza       7478'~'Chicago IL 60606 USA       7478'~~~'Manchester'~~~'19'~~~
'7479'~'10 S. Riverside Plaza       7479'~'Chicago IL 60606 USA       7479'~~~'Saksköbing'~~'4990'~'13'~~~
'7480'~'10 S. Riverside Plaza       7480'~'Chicago IL 60606 USA       7480'~~~'Haerland'~~'1878'~'17'~~~
'7481'~'10 S. Riverside Plaza       7481'~'Chicago IL 60606 USA       7481'~~~'Haerland'~~'1878'~'17'~~~
'7482'~'10 S. Riverside Plaza       7482'~'Chicago IL 60606 USA       7482'~~~'Ljubljana'~~'1000'~'43'~~~
'7483'~'10 S. Riverside Plaza       7483'~'Chicago IL 60606 USA       7483'~~~'Upplands Väsby'~~'19486'~'18'~~~
'7484'~'10 S. Riverside Plaza       7484'~'Chicago IL 60606 USA       7484'~~~'Moscow region'~~'141580'~'11'~~~
'7485'~'10 S. Riverside Plaza       7485'~'Chicago IL 60606 USA       7485'~~~'Pantelimon'~'2583'~~'10'~~~
'7486'~'10 S. Riverside Plaza       7486'~'Chicago IL 60606 USA       7486'~~~'Nevskoe village, Gurievsk district'~'2115'~'238300'~'11'~~~
'7487'~'10 S. Riverside Plaza       7487'~'Chicago IL 60606 USA       7487'~~~'Strzelin'~~~'40'~~~
'7488'~'10 S. Riverside Plaza       7488'~'Chicago IL 60606 USA       7488'~''~''~'Lincolnshire'~'0'~''~'19'~~'19B8B0B1-EF3C-4BC4-B826-CE70EEE37F0F'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'
'7489'~'10 S. Riverside Plaza       7489'~'Chicago IL 60606 USA       7489'~~~'Cheltenham'~~~'19'~~~
'7490'~'10 S. Riverside Plaza       7490'~'Chicago IL 60606 USA       7490'~~~'Neumarkt-St.Veit'~'1250'~'84494'~'37'~~~
'7491'~'10 S. Riverside Plaza       7491'~'Chicago IL 60606 USA       7491'~~~'Lelystad'~~~'29'~~~
'7492'~'10 S. Riverside Plaza       7492'~'Chicago IL 60606 USA       7492'~~~'Footscray'~'836'~'3011'~'118'~~~
'7493'~'10 S. Riverside Plaza       7493'~'Chicago IL 60606 USA       7493'~~~'Morrinsville'~~~'122'~~~
'7494'~'10 S. Riverside Plaza       7494'~'Chicago IL 60606 USA       7494'~~~'Barnham, Thetford, Norfolk'~~~'19'~~~
'7495'~'10 S. Riverside Plaza       7495'~'Chicago IL 60606 USA       7495'~~~'Dagmersellen'~~'6252'~'32'~~~
'7496'~'10 S. Riverside Plaza       7496'~'Chicago IL 60606 USA       7496'~~~'WESTMEERBEEK'~~~'21'~~~
'7497'~'10 S. Riverside Plaza       7497'~'Chicago IL 60606 USA       7497'~~~'Kruiningen'~~'3961'~'29'~~~
'7498'~'10 S. Riverside Plaza       7498'~'Chicago IL 60606 USA       7498'~~~'Kruiningen'~~~'29'~~~
'7499'~'10 S. Riverside Plaza       7499'~'Chicago IL 60606 USA       7499'~~~'Dinteloord'~~~'29'~~~
'7500'~'10 S. Riverside Plaza       7500'~'Chicago IL 60606 USA       7500'~~~'Mishkovo-Pogorilove Village, Zhovtnevy District, M'~~'57214'~'12'~~~
'7501'~'10 S. Riverside Plaza       7501'~'Chicago IL 60606 USA       7501'~~~'Bad Schwartau'~~'23611'~'37'~~~
'7502'~'10 S. Riverside Plaza       7502'~'Chicago IL 60606 USA       7502'~~~'Berlin'~~'13059'~'37'~~~
'7503'~'10 S. Riverside Plaza       7503'~'Chicago IL 60606 USA       7503'~~~'Bucharest'~~~'10'~~~
'7504'~'10 S. Riverside Plaza       7504'~'Chicago IL 60606 USA       7504'~~~'Cluj Napoca'~~'3400'~'10'~~~
'7505'~'10 S. Riverside Plaza       7505'~'Chicago IL 60606 USA       7505'~~~'Oradea'~~'3700'~'10'~~~
'7506'~'10 S. Riverside Plaza       7506'~'Chicago IL 60606 USA       7506'~~~'Massalengo - Lodi'~~'26815'~'25'~~~
'7507'~'10 S. Riverside Plaza       7507'~'Chicago IL 60606 USA       7507'~~~'Mosciano S. Angelo (TE)'~~'64023'~'25'~~~
'7508'~'10 S. Riverside Plaza       7508'~'Chicago IL 60606 USA       7508'~~~'Hasle'~~'3790'~'13'~~~
'7509'~'10 S. Riverside Plaza       7509'~'Chicago IL 60606 USA       7509'~~~'Malmö'~~'211 24'~'18'~~~
'7510'~'10 S. Riverside Plaza       7510'~'Chicago IL 60606 USA       7510'~~~'Kufstein'~~'6330'~'33'~~~
'7511'~'10 S. Riverside Plaza       7511'~'Chicago IL 60606 USA       7511'~~~'Hawthorn East'~'836'~'3123'~'118'~~~
'7512'~'10 S. Riverside Plaza       7512'~'Chicago IL 60606 USA       7512'~~~'Epping'~'832'~'2121'~'118'~~~
'7513'~'10 S. Riverside Plaza       7513'~'Chicago IL 60606 USA       7513'~~~'Meadow Way, Mexborough, Rotherham'~~~'19'~~~
'7514'~'10 S. Riverside Plaza       7514'~'Chicago IL 60606 USA       7514'~~~'Göteborg'~~'41878'~'18'~~~
'7515'~'10 S. Riverside Plaza       7515'~'Chicago IL 60606 USA       7515'~~~'Kecskemét'~~'6000'~'38'~~~
'7516'~'10 S. Riverside Plaza       7516'~'Chicago IL 60606 USA       7516'~~~'Budapest'~~'1133'~'38'~~~
'7517'~'10 S. Riverside Plaza       7517'~'Chicago IL 60606 USA       7517'~~~'Tullamarine'~'836'~~'118'~~~
'7518'~'10 S. Riverside Plaza       7518'~'Chicago IL 60606 USA       7518'~~~'Cambridge'~~~'122'~~~
'7519'~'10 S. Riverside Plaza       7519'~'Chicago IL 60606 USA       7519'~~~'ISTANBUL'~~'34788'~'115'~~~
'7520'~'10 S. Riverside Plaza       7520'~'Chicago IL 60606 USA       7520'~~~'Tbilisi'~~'380082'~'5'~~~
'7521'~'10 S. Riverside Plaza       7521'~'Chicago IL 60606 USA       7521'~~~'Helsinki'~~'510'~'14'~~~
'7522'~'10 S. Riverside Plaza       7522'~'Chicago IL 60606 USA       7522'~~~'Meckenbeuren'~~'88074'~'37'~~~
'7523'~'10 S. Riverside Plaza       7523'~'Chicago IL 60606 USA       7523'~~~'Aylesbury'~'1548'~'HP17 9LB'~'19'~~~
'7524'~'10 S. Riverside Plaza       7524'~'Chicago IL 60606 USA       7524'~~~'Bristol'~~~'19'~~~
'7525'~'10 S. Riverside Plaza       7525'~'Chicago IL 60606 USA       7525'~~~'Newark'~'1669'~'NG22 8TS'~'19'~~~
'7526'~'10 S. Riverside Plaza       7526'~'Chicago IL 60606 USA       7526'~~~'Nottinghamshire, United Kingdom'~~~'19'~~~
'7527'~'10 S. Riverside Plaza       7527'~'Chicago IL 60606 USA       7527'~~~'Bristol'~~~'19'~~~
'7528'~'10 S. Riverside Plaza       7528'~'Chicago IL 60606 USA       7528'~~~'Hemel Hempstead'~'1612'~'HP2 7HG'~'19'~~~
'7529'~'10 S. Riverside Plaza       7529'~'Chicago IL 60606 USA       7529'~~~'Langenthal'~~'4901'~'32'~~~
'7530'~'10 S. Riverside Plaza       7530'~'Chicago IL 60606 USA       7530'~~~'Vantaa'~~'1720'~'14'~~~
'7531'~'10 S. Riverside Plaza       7531'~'Chicago IL 60606 USA       7531'~~~'Vantaa'~~'1721'~'14'~~~
'7532'~'10 S. Riverside Plaza       7532'~'Chicago IL 60606 USA       7532'~~~'Pinkenba'~'833'~'4008'~'118'~~~
'7533'~'10 S. Riverside Plaza       7533'~'Chicago IL 60606 USA       7533'~~~'LAHOLM'~~~'18'~~~
'7534'~'10 S. Riverside Plaza       7534'~'Chicago IL 60606 USA       7534'~~~'Herentals'~~'2200'~'21'~~~
'7535'~'10 S. Riverside Plaza       7535'~'Chicago IL 60606 USA       7535'~~~'Flawil'~~'9230'~'32'~~~
'7536'~'10 S. Riverside Plaza       7536'~'Chicago IL 60606 USA       7536'~~~'Stockholm'~~~'18'~~~
'7537'~'10 S. Riverside Plaza       7537'~'Chicago IL 60606 USA       7537'~~~'Suceava'~~~'10'~~~
'7538'~'10 S. Riverside Plaza       7538'~'Chicago IL 60606 USA       7538'~~~'Ljubljana'~~'1370'~'43'~~~
'7539'~'10 S. Riverside Plaza       7539'~'Chicago IL 60606 USA       7539'~~~'Crawley, W Sussex'~~~'19'~~~
'7540'~'10 S. Riverside Plaza       7540'~'Chicago IL 60606 USA       7540'~~~'Saue'~~'76505'~'4'~~~
'7541'~'10 S. Riverside Plaza       7541'~'Chicago IL 60606 USA       7541'~~~'Tumba'~~'14743'~'18'~~~
'7542'~'10 S. Riverside Plaza       7542'~'Chicago IL 60606 USA       7542'~~~'Tumba'~~'14743'~'18'~~~
'7543'~'10 S. Riverside Plaza       7543'~'Chicago IL 60606 USA       7543'~~~'Benešov u Prahy'~~~'36'~~~
'7544'~'10 S. Riverside Plaza       7544'~'Chicago IL 60606 USA       7544'~~~'Botevgrad, Sofia District'~~'2140'~'3'~~~
'7545'~'10 S. Riverside Plaza       7545'~'Chicago IL 60606 USA       7545'~~~'Praha 6'~~~'36'~~~
'7546'~'10 S. Riverside Plaza       7546'~'Chicago IL 60606 USA       7546'~~~'Brno'~~~'36'~~~
'7547'~'10 S. Riverside Plaza       7547'~'Chicago IL 60606 USA       7547'~~~'Moscow'~~'125047'~'11'~~~
'7548'~'10 S. Riverside Plaza       7548'~'Chicago IL 60606 USA       7548'~~~'Warszawa'~~'03-230 '~'40'~~~
'7549'~'10 S. Riverside Plaza       7549'~'Chicago IL 60606 USA       7549'~~~'Warszawa'~~~'40'~~~
'7550'~'10 S. Riverside Plaza       7550'~'Chicago IL 60606 USA       7550'~~~'Moscow'~~'113535'~'11'~~~
'7551'~'10 S. Riverside Plaza       7551'~'Chicago IL 60606 USA       7551'~~~'Warszawa'~~~'40'~~~
'7552'~'10 S. Riverside Plaza       7552'~'Chicago IL 60606 USA       7552'~~~'Jastrowie'~~~'40'~~~
'7553'~'10 S. Riverside Plaza       7553'~'Chicago IL 60606 USA       7553'~~~'Zakroczym'~~~'40'~~~
'7554'~'10 S. Riverside Plaza       7554'~'Chicago IL 60606 USA       7554'~~~'Warszawa'~~~'40'~~~
'7555'~'10 S. Riverside Plaza       7555'~'Chicago IL 60606 USA       7555'~~~'Michalów Reginów'~~~'40'~~~
'7556'~'10 S. Riverside Plaza       7556'~'Chicago IL 60606 USA       7556'~~~'Bydgoszcz'~~~'40'~~~
'7557'~'10 S. Riverside Plaza       7557'~'Chicago IL 60606 USA       7557'~~~'Zielona Gora'~'1982'~'65-785 '~'40'~~~
'7558'~'10 S. Riverside Plaza       7558'~'Chicago IL 60606 USA       7558'~~~'Warszawa'~~~'40'~~~
'7559'~'10 S. Riverside Plaza       7559'~'Chicago IL 60606 USA       7559'~~~'Warszawa'~~~'40'~~~
'7560'~'10 S. Riverside Plaza       7560'~'Chicago IL 60606 USA       7560'~~~'Wroclaw'~~~'40'~~~
'7561'~'10 S. Riverside Plaza       7561'~'Chicago IL 60606 USA       7561'~~~'Warszawa'~~~'40'~~~
'7562'~'10 S. Riverside Plaza       7562'~'Chicago IL 60606 USA       7562'~~~'Tychy'~~'43-100'~'40'~~~
'7563'~'10 S. Riverside Plaza       7563'~'Chicago IL 60606 USA       7563'~~~'Grodkow'~~~'40'~~~
'7564'~'10 S. Riverside Plaza       7564'~'Chicago IL 60606 USA       7564'~~~'Warszawa'~~~'40'~~~
'7565'~'10 S. Riverside Plaza       7565'~'Chicago IL 60606 USA       7565'~~~'Moscow'~~'103055'~'11'~~~
'7566'~'10 S. Riverside Plaza       7566'~'Chicago IL 60606 USA       7566'~~~'Knarrlagsund'~~'7242'~'17'~~~
'7567'~'10 S. Riverside Plaza       7567'~'Chicago IL 60606 USA       7567'~~~'Takanini'~'1862'~'2112'~'122'~~~
'7568'~'10 S. Riverside Plaza       7568'~'Chicago IL 60606 USA       7568'~~~'Southend On Sea'~'1593'~~'19'~~~
'7569'~'10 S. Riverside Plaza       7569'~'Chicago IL 60606 USA       7569'~~~'Yatala'~'833'~'4207'~'118'~~~
'7570'~'10 S. Riverside Plaza       7570'~'Chicago IL 60606 USA       7570'~~~'Rydalmere'~'832'~'2116'~'118'~~~
'7571'~'10 S. Riverside Plaza       7571'~'Chicago IL 60606 USA       7571'~~~'Marrickville'~'832'~'2204'~'118'~~~
'7572'~'10 S. Riverside Plaza       7572'~'Chicago IL 60606 USA       7572'~~~'Rocklea'~'833'~'4106'~'118'~~~
'7573'~'10 S. Riverside Plaza       7573'~'Chicago IL 60606 USA       7573'~~~'Tingalpa'~'833'~'4173'~'118'~~~
'7574'~'10 S. Riverside Plaza       7574'~'Chicago IL 60606 USA       7574'~~~'Avondale'~'1862'~~'122'~~~
'7575'~'10 S. Riverside Plaza       7575'~'Chicago IL 60606 USA       7575'~~~'East Tamaki'~'1862'~'2013'~'122'~~~
'7576'~'10 S. Riverside Plaza       7576'~'Chicago IL 60606 USA       7576'~~~'High Wycombe'~~~'19'~~~
'7577'~'10 S. Riverside Plaza       7577'~'Chicago IL 60606 USA       7577'~~~'unknown'~~~'118'~~~
'7578'~'10 S. Riverside Plaza       7578'~'Chicago IL 60606 USA       7578'~~~'unknown'~~~'118'~~~
'7579'~'10 S. Riverside Plaza       7579'~'Chicago IL 60606 USA       7579'~~~'unknown'~~~'118'~~~
'7580'~'10 S. Riverside Plaza       7580'~'Chicago IL 60606 USA       7580'~~~'Nadi'~~~'119'~~~
'7581'~'10 S. Riverside Plaza       7581'~'Chicago IL 60606 USA       7581'~~~'unknown'~~~'118'~~~
'7582'~'10 S. Riverside Plaza       7582'~'Chicago IL 60606 USA       7582'~~~'unknown'~~~'118'~~~
'7583'~'10 S. Riverside Plaza       7583'~'Chicago IL 60606 USA       7583'~~~'unknown'~~~'19'~~~
'7584'~'10 S. Riverside Plaza       7584'~'Chicago IL 60606 USA       7584'~~~'unknown'~~~'22'~~~
'7585'~'10 S. Riverside Plaza       7585'~'Chicago IL 60606 USA       7585'~~~'unknown'~~~'22'~~~
'7586'~'10 S. Riverside Plaza       7586'~'Chicago IL 60606 USA       7586'~~~'unknown'~~~'37'~~~
'7587'~'10 S. Riverside Plaza       7587'~'Chicago IL 60606 USA       7587'~~~'unknown'~~~'37'~~~
'7588'~'10 S. Riverside Plaza       7588'~'Chicago IL 60606 USA       7588'~~~'unknown'~~~'37'~~~
'7589'~'10 S. Riverside Plaza       7589'~'Chicago IL 60606 USA       7589'~~~'unknown'~~~'37'~~~
'7590'~'10 S. Riverside Plaza       7590'~'Chicago IL 60606 USA       7590'~~~'unknown'~~~'37'~~~
'7591'~'10 S. Riverside Plaza       7591'~'Chicago IL 60606 USA       7591'~~~'unknown'~~~'37'~~~
'7592'~'10 S. Riverside Plaza       7592'~'Chicago IL 60606 USA       7592'~~~'unknown'~~~'25'~~~
'7593'~'10 S. Riverside Plaza       7593'~'Chicago IL 60606 USA       7593'~~~'unknown'~~~'25'~~~
'7594'~'10 S. Riverside Plaza       7594'~'Chicago IL 60606 USA       7594'~~~'unknown'~~~'25'~~~
'7595'~'10 S. Riverside Plaza       7595'~'Chicago IL 60606 USA       7595'~~~'unknown'~~~'25'~~~
'7596'~'10 S. Riverside Plaza       7596'~'Chicago IL 60606 USA       7596'~~~'unknown'~~~'25'~~~
'7597'~'10 S. Riverside Plaza       7597'~'Chicago IL 60606 USA       7597'~~~'unknown'~~~'31'~~~
'7598'~'10 S. Riverside Plaza       7598'~'Chicago IL 60606 USA       7598'~~~'unknown'~~~'31'~~~
'7599'~'10 S. Riverside Plaza       7599'~'Chicago IL 60606 USA       7599'~~~'unknown'~~~'76'~~~
'7600'~'10 S. Riverside Plaza       7600'~'Chicago IL 60606 USA       7600'~~~'unknown'~~~'76'~~~
'7601'~'10 S. Riverside Plaza       7601'~'Chicago IL 60606 USA       7601'~~~'unknown'~~~'76'~~~
'7602'~'10 S. Riverside Plaza       7602'~'Chicago IL 60606 USA       7602'~~~'Delta'~~~'72'~~~
'7603'~'10 S. Riverside Plaza       7603'~'Chicago IL 60606 USA       7603'~~~'Etobicoke'~~~'72'~~~
'7604'~'10 S. Riverside Plaza       7604'~'Chicago IL 60606 USA       7604'~''~''~'Mississauga'~'0'~''~'72'~~'58D64BBD-9F26-4121-9F91-32F4DF02AC8B'~'9097B036-4BEE-460E-8712-773FC9350773'
'7605'~'10 S. Riverside Plaza       7605'~'Chicago IL 60606 USA       7605'~~~'Mississauga'~~~'72'~~~
'7606'~'10 S. Riverside Plaza       7606'~'Chicago IL 60606 USA       7606'~~~'EAGLE GROVE'~'13'~'50533'~'76'~~~
'7607'~'10 S. Riverside Plaza       7607'~'Chicago IL 60606 USA       7607'~~~'MONTICELLO'~'24'~'55362'~'76'~~~
'7608'~'10 S. Riverside Plaza       7608'~'Chicago IL 60606 USA       7608'~~~'Fernley'~~~'76'~~~
'7609'~'10 S. Riverside Plaza       7609'~'Chicago IL 60606 USA       7609'~~~'unknown'~~~'122'~~~
'7610'~'10 S. Riverside Plaza       7610'~'Chicago IL 60606 USA       7610'~~~'unknown'~~~'115'~~~
'7611'~'10 S. Riverside Plaza       7611'~'Chicago IL 60606 USA       7611'~~~'Strzegom'~~'58-150'~'40'~~~
'7612'~'10 S. Riverside Plaza       7612'~'Chicago IL 60606 USA       7612'~~~'unknown'~~~'40'~~~
'7613'~'10 S. Riverside Plaza       7613'~'Chicago IL 60606 USA       7613'~~~'unknown'~~~'11'~~~
'7614'~'10 S. Riverside Plaza       7614'~'Chicago IL 60606 USA       7614'~~~'Itapiranga SC'~~'89896-000'~'44'~~~
'7615'~'10 S. Riverside Plaza       7615'~'Chicago IL 60606 USA       7615'~~~'unknown'~~~'11'~~~
'7616'~'10 S. Riverside Plaza       7616'~'Chicago IL 60606 USA       7616'~~~'unknown'~~~'11'~~~
'7617'~'10 S. Riverside Plaza       7617'~'Chicago IL 60606 USA       7617'~~~'Turnhout'~~'2300'~'21'~~~
'7618'~'10 S. Riverside Plaza       7618'~'Chicago IL 60606 USA       7618'~~~'unknown'~~~'25'~~~
'7619'~'10 S. Riverside Plaza       7619'~'Chicago IL 60606 USA       7619'~~~'unknown'~~~'22'~~~
'7620'~'10 S. Riverside Plaza       7620'~'Chicago IL 60606 USA       7620'~~~'unknown'~~~'36'~~~
'7621'~'10 S. Riverside Plaza       7621'~'Chicago IL 60606 USA       7621'~~~'unknown'~~~'18'~~~
'7622'~'10 S. Riverside Plaza       7622'~'Chicago IL 60606 USA       7622'~~~'unknown'~~~'3'~~~
'7623'~'10 S. Riverside Plaza       7623'~'Chicago IL 60606 USA       7623'~~~'Nanterre cedex'~~~'22'~~~
'7624'~'10 S. Riverside Plaza       7624'~'Chicago IL 60606 USA       7624'~~~'unknown'~~~'11'~~~
'7625'~'10 S. Riverside Plaza       7625'~'Chicago IL 60606 USA       7625'~~~'unknown'~'96'~~'31'~~~
'7626'~'10 S. Riverside Plaza       7626'~'Chicago IL 60606 USA       7626'~~~'unknown'~~~'36'~~~
'7627'~'10 S. Riverside Plaza       7627'~'Chicago IL 60606 USA       7627'~~~'unknown'~~~'19'~~~
'7628'~'10 S. Riverside Plaza       7628'~'Chicago IL 60606 USA       7628'~~~'unknown'~~~'19'~~~
'7629'~'10 S. Riverside Plaza       7629'~'Chicago IL 60606 USA       7629'~~~'unknown'~~~'76'~~~
'7630'~'10 S. Riverside Plaza       7630'~'Chicago IL 60606 USA       7630'~~~'Port Motueka'~~'7120'~'122'~~~
'7631'~'10 S. Riverside Plaza       7631'~'Chicago IL 60606 USA       7631'~~~'unknown'~~~'33'~~~
'7632'~'10 S. Riverside Plaza       7632'~'Chicago IL 60606 USA       7632'~~~'unknown'~~~'33'~~~
'7633'~'10 S. Riverside Plaza       7633'~'Chicago IL 60606 USA       7633'~~~'unknown'~~~'33'~~~
'7634'~'10 S. Riverside Plaza       7634'~'Chicago IL 60606 USA       7634'~~~'unknown'~~~'33'~~~
'7635'~'10 S. Riverside Plaza       7635'~'Chicago IL 60606 USA       7635'~~~'Rosenburg 12'~~'3573'~'33'~~~
'7636'~'10 S. Riverside Plaza       7636'~'Chicago IL 60606 USA       7636'~~~'unknown'~~~'33'~~~
'7637'~'10 S. Riverside Plaza       7637'~'Chicago IL 60606 USA       7637'~~~'unknown'~~~'33'~~~
'7638'~'10 S. Riverside Plaza       7638'~'Chicago IL 60606 USA       7638'~~~'Leuven'~~'3000'~'21'~~~
'7639'~'10 S. Riverside Plaza       7639'~'Chicago IL 60606 USA       7639'~~~'Lembeke'~~~'21'~~~
'7640'~'10 S. Riverside Plaza       7640'~'Chicago IL 60606 USA       7640'~~~'Rumbeekse'~~~'21'~~~
'7641'~'10 S. Riverside Plaza       7641'~'Chicago IL 60606 USA       7641'~~~'unknown'~~~'29'~~~
'7642'~'10 S. Riverside Plaza       7642'~'Chicago IL 60606 USA       7642'~~~'unknown'~~~'29'~~~
'7643'~'10 S. Riverside Plaza       7643'~'Chicago IL 60606 USA       7643'~~~'unknown'~~~'29'~~~
'7644'~'10 S. Riverside Plaza       7644'~'Chicago IL 60606 USA       7644'~~~'unknown'~~~'29'~~~
'7645'~'10 S. Riverside Plaza       7645'~'Chicago IL 60606 USA       7645'~~~'unknown'~~~'29'~~~
'7646'~'10 S. Riverside Plaza       7646'~'Chicago IL 60606 USA       7646'~~~'unknown'~~~'29'~~~
'7647'~'10 S. Riverside Plaza       7647'~'Chicago IL 60606 USA       7647'~~~'unknown'~~~'29'~~~
'7648'~'10 S. Riverside Plaza       7648'~'Chicago IL 60606 USA       7648'~~~'unknown'~~~'29'~~~
'7649'~'10 S. Riverside Plaza       7649'~'Chicago IL 60606 USA       7649'~~~'unknown'~~~'40'~~~
'7650'~'10 S. Riverside Plaza       7650'~'Chicago IL 60606 USA       7650'~~~'unknown'~~~'40'~~~
'7651'~'10 S. Riverside Plaza       7651'~'Chicago IL 60606 USA       7651'~~~'unknown'~~~'40'~~~
'7652'~'10 S. Riverside Plaza       7652'~'Chicago IL 60606 USA       7652'~~~'unknown'~~~'40'~~~
'7653'~'10 S. Riverside Plaza       7653'~'Chicago IL 60606 USA       7653'~~~'unknown'~~~'40'~~~
'7654'~'10 S. Riverside Plaza       7654'~'Chicago IL 60606 USA       7654'~~~'unknown'~~~'40'~~~
'7655'~'10 S. Riverside Plaza       7655'~'Chicago IL 60606 USA       7655'~~~'unknown'~~~'32'~~~
'7656'~'10 S. Riverside Plaza       7656'~'Chicago IL 60606 USA       7656'~~~'unknown'~~~'32'~~~
'7657'~'10 S. Riverside Plaza       7657'~'Chicago IL 60606 USA       7657'~~~'unknown'~~~'36'~~~
'7658'~'10 S. Riverside Plaza       7658'~'Chicago IL 60606 USA       7658'~~~'unknown'~~~'36'~~~
'7659'~'10 S. Riverside Plaza       7659'~'Chicago IL 60606 USA       7659'~~~'unknown'~~~'36'~~~
'7660'~'10 S. Riverside Plaza       7660'~'Chicago IL 60606 USA       7660'~~~'unknown'~~~'36'~~~
'7661'~'10 S. Riverside Plaza       7661'~'Chicago IL 60606 USA       7661'~~~'unknown'~~~'36'~~~
'7662'~'10 S. Riverside Plaza       7662'~'Chicago IL 60606 USA       7662'~~~'unknown'~~~'36'~~~
'7663'~'10 S. Riverside Plaza       7663'~'Chicago IL 60606 USA       7663'~~~'unknown'~~~'36'~~~
'7664'~'10 S. Riverside Plaza       7664'~'Chicago IL 60606 USA       7664'~~~'unknown'~~~'36'~~~
'7665'~'10 S. Riverside Plaza       7665'~'Chicago IL 60606 USA       7665'~~~'unknown'~~~'36'~~~
'7666'~'10 S. Riverside Plaza       7666'~'Chicago IL 60606 USA       7666'~~~'unknown'~~~'36'~~~
'7667'~'10 S. Riverside Plaza       7667'~'Chicago IL 60606 USA       7667'~~~'Cesky Tesin'~~'73562'~'36'~~~
'7668'~'10 S. Riverside Plaza       7668'~'Chicago IL 60606 USA       7668'~~~'Kolding'~~'6000'~'13'~~~
'7669'~'10 S. Riverside Plaza       7669'~'Chicago IL 60606 USA       7669'~~~'unknown'~~~'13'~~~
'7670'~'10 S. Riverside Plaza       7670'~'Chicago IL 60606 USA       7670'~~~'unknown'~~~'16'~~~
'7671'~'10 S. Riverside Plaza       7671'~'Chicago IL 60606 USA       7671'~~~'unknown'~~~'16'~~~
'7672'~'10 S. Riverside Plaza       7672'~'Chicago IL 60606 USA       7672'~~~'Smithboro, Co. Monaghan'~'377'~~'16'~~~
'7673'~'10 S. Riverside Plaza       7673'~'Chicago IL 60606 USA       7673'~~~'unknown'~~~'16'~~~
'7674'~'10 S. Riverside Plaza       7674'~'Chicago IL 60606 USA       7674'~~~'unknown'~~~'16'~~~
'7675'~'10 S. Riverside Plaza       7675'~'Chicago IL 60606 USA       7675'~~~'unknown'~~~'16'~~~
'7676'~'10 S. Riverside Plaza       7676'~'Chicago IL 60606 USA       7676'~~~'unknown'~~~'18'~~~
'7677'~'10 S. Riverside Plaza       7677'~'Chicago IL 60606 USA       7677'~~~'Bjuv'~~~'18'~~~
'7678'~'10 S. Riverside Plaza       7678'~'Chicago IL 60606 USA       7678'~~~'unknown'~~~'18'~~~
'7679'~'10 S. Riverside Plaza       7679'~'Chicago IL 60606 USA       7679'~~~'unknown'~~~'18'~~~
'7680'~'10 S. Riverside Plaza       7680'~'Chicago IL 60606 USA       7680'~~~'unknown'~~~'18'~~~
'7681'~'10 S. Riverside Plaza       7681'~'Chicago IL 60606 USA       7681'~~~'unknown'~~~'3'~~~
'7682'~'10 S. Riverside Plaza       7682'~'Chicago IL 60606 USA       7682'~~~'unknown'~~~'12'~~~
'7683'~'10 S. Riverside Plaza       7683'~'Chicago IL 60606 USA       7683'~~~'unknown'~~~'24'~~~
'7684'~'10 S. Riverside Plaza       7684'~'Chicago IL 60606 USA       7684'~~~'unknown'~'397'~~'24'~~~
'7685'~'10 S. Riverside Plaza       7685'~'Chicago IL 60606 USA       7685'~~~'unknown'~~~'24'~~~
'7686'~'10 S. Riverside Plaza       7686'~'Chicago IL 60606 USA       7686'~~~'unknown'~~~'2'~~~
'7687'~'10 S. Riverside Plaza       7687'~'Chicago IL 60606 USA       7687'~~~'unknown'~~~'2'~~~
'7688'~'10 S. Riverside Plaza       7688'~'Chicago IL 60606 USA       7688'~~~'Mozyrgomel'~~'247760'~'2'~~~
'7689'~'10 S. Riverside Plaza       7689'~'Chicago IL 60606 USA       7689'~~~'unknown'~~~'2'~~~
'7690'~'10 S. Riverside Plaza       7690'~'Chicago IL 60606 USA       7690'~~~'unknown'~~~'2'~~~
'7691'~'10 S. Riverside Plaza       7691'~'Chicago IL 60606 USA       7691'~~~'unknown'~~~'2'~~~
'7692'~'10 S. Riverside Plaza       7692'~'Chicago IL 60606 USA       7692'~~~'unknown'~~~'3'~~~
'7693'~'10 S. Riverside Plaza       7693'~'Chicago IL 60606 USA       7693'~~~'unknown'~~~'3'~~~
'7694'~'10 S. Riverside Plaza       7694'~'Chicago IL 60606 USA       7694'~~~'unknown'~~~'3'~~~
'7695'~'10 S. Riverside Plaza       7695'~'Chicago IL 60606 USA       7695'~~~'unknown'~~~'3'~~~
'7696'~'10 S. Riverside Plaza       7696'~'Chicago IL 60606 USA       7696'~~~'unknown'~~~'3'~~~
'7697'~'10 S. Riverside Plaza       7697'~'Chicago IL 60606 USA       7697'~~~'unknown'~~~'3'~~~
